dates,GDPC1,CPIAUCSL,FEDFUNDS,M2,BAA10YM,PCEPILFE,PCEPI,UNRATE
1999-04-01,12514.408,165.966666666667,4.74666666666667,4484.4,2.2,79.0393333333333,75.9466666666667,4.26666666666667
1999-07-01,12679.977,167.2,5.09333333333333,4551.3,2.21666666666667,79.3303333333333,76.3643333333333,4.23333333333333
1999-10-01,12888.281,168.433333333333,5.30666666666667,4613.33333333333,2.1,79.7033333333333,76.8283333333333,4.06666666666667
2000-01-01,12935.252,170.1,5.67666666666667,4685.26666666667,1.85,80.121,77.4523333333333,4.03333333333333
2000-04-01,13170.749,171.433333333333,6.27333333333333,4763.93333333333,2.41666666666667,80.4006666666667,77.8213333333333,3.93333333333333
2000-07-01,13183.89,173,6.52,4820.03333333333,2.42666666666667,80.788,78.3226666666667,4
2000-10-01,13262.25,174.233333333333,6.47333333333333,4891.5,2.64666666666667,81.1886666666667,78.7656666666667,3.9
2001-01-01,13219.251,175.9,5.59333333333333,5020.6,2.83,81.7163333333333,79.3493333333333,4.23333333333333
2001-04-01,13301.394,177.133333333333,4.32666666666667,5147.46666666667,2.76666666666667,82.025,79.7206666666667,4.4
2001-07-01,13248.142,177.633333333333,3.49666666666667,5263,2.97,82.237,79.761,4.83333333333333
2001-10-01,13284.881,177.5,2.13333333333333,5383.9,3.15333333333333,82.6336666666667,79.7936666666667,5.5
2002-01-01,13394.91,178.066666666667,1.73333333333333,5477.56666666667,2.88,82.8876666666667,79.9543333333333,5.7
2002-04-01,13477.356,179.466666666667,1.75,5521.13333333333,2.92333333333333,83.344,80.5473333333333,5.83333333333333
2002-07-01,13531.741,180.433333333333,1.74,5625.56666666667,3.36666666666667,83.7876666666667,80.9646666666667,5.73333333333333
2002-10-01,13549.421,181.5,1.44333333333333,5741,3.59333333333333,84.0856666666667,81.342,5.86666666666667
2003-01-01,13619.434,183.366666666667,1.25,5835.56666666667,3.2,84.3453333333333,81.964,5.86666666666667
2003-04-01,13741.107,183.066666666667,1.24666666666667,5951.36666666667,2.85333333333333,84.6653333333333,82.0466666666667,6.13333333333333
2003-07-01,13970.157,184.433333333333,1.01666666666667,6072.1,2.57333333333333,85.0526666666667,82.5866666666667,6.13333333333333
2003-10-01,14131.379,185.133333333333,0.996666666666667,6066.66666666667,2.37666666666667,85.4336666666667,82.993,5.83333333333333
2004-01-01,14212.34,186.7,1.00333333333333,6113.3,2.25333333333333,85.9036666666667,83.6326666666667,5.7
